INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonYrAxis,MonthNum,YearNum,firstAppear,Num_Vic,Odd_Even_Vic
86870747,9/22/2012,2:40:00,2 AM,QUEENS,FALSE,40.71847752,-73.81448197,1,1,0,1,1,1,1,1,9/1/2012,41153,9,12,1,4,FALSE
86990678,9/30/2012,3:39:00,3 AM,BRONX,FALSE,40.85461265,-73.88423223,1,1,0,1,1,1,0,0,9/1/2012,41153,9,12,1,4,FALSE
87026705,10/2/2012,2:37:00,2 AM,BRONX,TRUE,40.87430381,-73.86925723,1,0,1,1,1,1,1,0,10/1/2012,41183,10,12,1,4,FALSE
87107847,10/6/2012,2:25:00,2 AM,QUEENS,FALSE,40.69536328,-73.8454835,1,1,0,1,1,1,0,0,10/1/2012,41183,10,12,1,4,FALSE
87443958,10/27/2012,7:15:00,7 AM,BROOKLYN,FALSE,40.68044257,-73.98256373,1,1,0,1,1,1,0,0,10/1/2012,41183,10,12,1,4,FALSE
88254246,12/23/2012,16:58:00,4 PM,BRONX,FALSE,40.8473681,-73.90418211,1,1,0,1,1,1,0,1,12/1/2012,41244,12,12,1,8,FALSE
88330218,12/29/2012,3:10:00,3 AM,QUEENS,FALSE,40.58989407,-73.80807855,1,1,0,1,1,1,1,1,12/1/2012,41244,12,12,1,4,FALSE
88390468,1/3/2013,12:55:00,12 PM,BRONX,TRUE,40.82334915,-73.86525665,1,0,1,1,1,1,1,0,1/1/2013,41275,1,13,1,4,FALSE
88452302,1/7/2013,17:07:00,5 PM,BROOKLYN,TRUE,40.65410106,-73.9383733,1,0,1,1,1,1,1,0,1/1/2013,41275,1,13,1,4,FALSE
89002113,2/5/2013,9:50:00,9 AM,BROOKLYN,FALSE,40.6418064,-73.95343319,1,1,0,1,1,1,0,0,2/1/2013,41306,2,13,1,4,FALSE
89238891,2/20/2013,0:30:00,12 AM,BROOKLYN,TRUE,40.66694921,-73.92990894,1,0,1,1,1,1,1,0,2/1/2013,41306,2,13,1,4,FALSE
89514645,3/6/2013,4:08:00,4 AM,QUEENS,TRUE,40.65608318,-73.85375485,1,0,1,1,1,1,1,1,3/1/2013,41334,3,13,1,6,FALSE
89770225,3/22/2013,16:00:00,4 PM,BROOKLYN,FALSE,40.57916181,-74.00037111,1,1,0,1,1,1,0,0,3/1/2013,41334,3,13,1,6,FALSE
90128858,4/15/2013,23:12:00,11 PM,BROOKLYN,TRUE,40.67862798,-73.89370735,1,0,1,1,1,1,1,1,4/1/2013,41365,4,13,1,5,TRUE
90215685,4/20/2013,4:09:00,4 AM,MANHATTAN,FALSE,40.8622795,-73.92052621,1,1,0,1,1,1,1,1,4/1/2013,41365,4,13,1,4,FALSE
90451786,5/3/2013,20:08:00,8 PM,QUEENS,TRUE,40.59504266,-73.78514357,1,0,1,1,1,1,1,0,5/1/2013,41395,5,13,1,4,FALSE
90843733,5/27/2013,2:10:00,2 AM,BROOKLYN,FALSE,40.63921663,-73.91935601,1,1,0,1,1,1,0,0,5/1/2013,41395,5,13,1,4,FALSE
90905822,5/30/2013,18:14:00,6 PM,BRONX,FALSE,40.82738357,-73.88889883,1,1,0,1,1,1,0,1,5/1/2013,41395,5,13,1,8,FALSE
91177905,6/15/2013,21:39:00,9 PM,STATEN ISLAND,FALSE,40.64257326,-74.08652507,1,1,0,1,1,1,1,1,6/1/2013,41426,6,13,1,4,FALSE
91270515,6/21/2013,18:00:00,6 PM,BRONX,FALSE,40.85665432,-73.84387022,1,1,0,1,1,1,1,1,6/1/2013,41426,6,13,1,4,FALSE
91399595,6/30/2013,0:51:00,12 AM,BROOKLYN,FALSE,40.64550491,-73.92776193,1,1,0,1,1,1,1,1,6/1/2013,41426,6,13,1,4,FALSE
91500044,7/6/2013,18:20:00,6 PM,BROOKLYN,TRUE,40.6985439,-73.94983723,1,0,1,1,1,1,1,0,7/1/2013,41456,7,13,1,4,FALSE
91612689,7/13/2013,2:05:00,2 AM,BROOKLYN,FALSE,40.65950368,-73.94904842,1,1,0,1,1,1,1,1,7/1/2013,41456,7,13,1,4,FALSE
91727938,7/20/2013,4:32:00,4 AM,STATEN ISLAND,FALSE,40.61549182,-74.08165668,1,1,0,1,1,1,0,0,7/1/2013,41456,7,13,1,4,FALSE
91727927,7/20/2013,14:10:00,2 PM,BROOKLYN,FALSE,40.69737806,-73.91784291,1,1,0,1,1,1,1,1,7/1/2013,41456,7,13,1,4,FALSE
91739682,7/21/2013,16:56:00,4 PM,BROOKLYN,FALSE,40.66269413,-73.88830693,1,1,0,1,1,1,0,0,7/1/2013,41456,7,13,1,4,FALSE
